3623116, 31189012794282
9994549, -4201297
3129409, 8988011
4862211, -7461060
2678963, -2432912
8323601, 2354
8053610, 237677956458653330712
2723276, 3336584
7820147, 1612
9870084, 3853143373408916045554867216
7334553, 14592681554458
7167437, 8158330541645715816410481
8398758, 5746534
5644210, 64715103301129
3568609, 518318143955239843492393216
5674205, 11207491
125240, 789666
8114003, 16692288
5947180, 4197
7430604, 67664364833736
3324309, 64321264037700
1895202, 9347678
9326079, 13406107
2560818, 764016
2287963, 9494488679215
7414783, 19220119980292
5910690, 32452998166147690097
6668351, 5187906
1281695, 5388
3659855, 3741
9357844, 9051396
5766029, -1190846
2604104, -4672545
6536761, 13556736
8689900, 675440
1875933, -8320883
7399689, 5108378
9806872, 12685906138800
1715840, 14335526940889710718052347761107
3129718, 1432875529719747115778732401
7922266, 138423525669739370864094736
6116778, -2924446
6150440, -5633393
9606394, 14929388
4700204, 734205005880162386409
200904, 34726686195120401188662603352536151
2822312, 537
2391084, 1408
1641473, 5689653465730
4663104, 62413707184670469190242655484351776
9417444, 60640857760630
15913, 6504708487489
8774800, 6216279
323682, 10590479
8097990, 17094339474535403378651624031232
6412299, 42666679788904
9305764, 7348315
8841181, 10548849215062
7522534, 32231693882852852536
3825517, 57847982344629
9544041, 8016879
7383298, 5368392
4659361, -230026
511395, 5825252
196596, 9358079
3493098, 11282067
6360823, 8029229
43579, 263535736977407840616
5369106, 5618857
1948546, -2402192
1961456, 54372707652600
3489363, 21132535045884
8843298, 612632841836059188840960000
848077, 4689615
9780994, 28974431930972
7211149, 2048
4482646, 16415963
1723875, 10715564
9944873, 8403678853285
4567370, 11718807572115
9653885, 1037
2166149, 1674756
8775568, 344232303836715991117
9352514, -235025
2259202, 702875891248927225487
509974, 3634
4930021, 1362
8831633, 18381275
2658966, 4601
1510875, 2810131641759949399977841201
5913923, 91
3243297, 29388020538525
3642425, 5565082287332808713799911601
5535867, -2752275
825552, 12244898490237
4541491, 3253
2732202, 13422092
9987625, 3669
1228553, 644564
5781745, 1882
7852532, 10351110
9718760, 2075
9508574, 3150869
5862287, 44730984601985
6765490, -8418286
4434204, 43488221593600
6279701, 3057
85632, -5864488
5547968, 827
251155, 16179521
4008805, 13362786
767914, -2236495
5939020, 428
4330443, 42727816943577
2789117, 4735
481835, 36010087102840
5312949, 3542
7901607, 213618097837975846161788996540625
8784758, 837
1353902, 3210889
1979444, 33081016908143
6745687, 7804404
5758797, 7721487
4094806, 13873340010042
1257493, 66522235581858
